ID	p	network	CC	T	SP	l2	lmax_l2	Rg
1719358056095.0	0.0	ws	0.7000000000000064	0.7	31.72072072072072	0.008052457970941923	2575.1252935749635	458113.19489885186
1719358110103.0	0.01	ws	0.6777274366156755	0.676845567722863	5.719985985985986	0.12150549266327246	175.33307055024477	136429.31371252588
1719358142486.0	0.02	ws	0.6606642875098757	0.6593483417252716	4.881991991991992	0.18886337722227758	112.54528760823332	115592.30711882969
1719358174833.0	0.03	ws	0.6373042795525792	0.6351364838564799	4.374024024024024	0.33276455957907647	65.15856179888046	101633.83973663738
1719358202856.0	0.04	ws	0.6259584078975713	0.622990607597041	4.229145145145145	0.4438164149876435	49.27344999499186	97371.88242978977
1719358229997.0	0.05	ws	0.6058888182508929	0.6022180685358255	3.997893893893894	0.5764903045382422	38.810241858795465	92205.28084366859
1719358254047.0	0.060000000000000005	ws	0.5869600175108692	0.5829445265412523	3.8728928928928927	0.6651802889267288	33.098874493398675	88444.42595679862
1719358276803.0	0.06999999999999999	ws	0.5638429798959204	0.5593376417590987	3.739069069069069	0.8784149339741568	25.75022697430905	85107.89903376382
1719358296999.0	0.08	ws	0.5535132417290317	0.5485238016254769	3.6855175175175177	0.8849977847135974	25.779121285377457	84191.43977333535
1719358316244.0	0.09	ws	0.521811442607959	0.5164975355175413	3.5513673673673676	1.1666176012055283	20.073554196176794	80920.80802508161
1719358334556.0	0.09999999999999999	ws	0.5195243890870042	0.5145882002087578	3.550880880880881	1.1360049803667243	20.288478142887293	80608.22043115168
1719358353674.0	0.11	ws	0.498975735307005	0.49344931182599916	3.4695595595595594	1.33266387378009	17.70694135508586	79051.78453575874
1719358369352.0	0.12	ws	0.48462913917008377	0.4784151242991118	3.427267267267267	1.3537777239958497	17.405583757401864	78183.5631862932
1719358384606.0	0.13	ws	0.4676133191713688	0.46029633059381875	3.386332332332332	1.607573203586742	14.67293692744322	77178.64786610313
1719358399295.0	0.14	ws	0.45227150736260663	0.4446060285563194	3.3486046046046045	1.6378301372911466	14.842421039612436	76469.4170186445
1719358413195.0	0.15000000000000002	ws	0.43262753319092345	0.4256408562367865	3.304966966966967	1.8005858278453273	13.605879195614113	75542.34685063286
1719358426090.0	0.16	ws	0.4205001267738113	0.4137837124088073	3.2921781781781783	1.8568532794033525	13.007992098458828	75113.6369542321
1719358438236.0	0.17	ws	0.4143523878855926	0.40668569637170626	3.273157157157157	2.002606804408331	11.985156496463285	74839.20850810045
1719358449496.0	0.18000000000000002	ws	0.3854559963600211	0.37933708402765176	3.2227467467467465	2.0876331549638043	11.672238800559152	73752.0424661213
1719358459555.0	0.19	ws	0.3815517314728619	0.37468166646062556	3.2143523523523525	2.2778162669767568	10.703404337464786	73675.75725825402
1719358470021.0	0.2	ws	0.35161790801218046	0.343873224943404	3.1634074074074072	2.5029586793990766	10.111371020982583	72802.26727463792
1719358479489.0	0.21000000000000002	ws	0.35500817603449225	0.3478983712068213	3.165997997997998	2.5300944392076827	9.73293895403239	72885.5635987067
1719358488735.0	0.22	ws	0.3487527170885534	0.34182063807178104	3.1574494494494494	2.4686974533648156	10.040879128524598	72695.42627842721
1719358498167.0	0.23	ws	0.3263388942211232	0.3197527718646492	3.1235395395395393	2.7883129195353087	9.25935826620063	72190.17957307407
1719358506767.0	0.24000000000000002	ws	0.3135368856375825	0.30647137676093983	3.1076036036036037	2.8571563075075903	8.65726292996365	71882.72713766713
1719358515361.0	0.25	ws	0.3087385907144862	0.3017407169978796	3.0988508508508508	2.9363573400141223	8.955464341966078	71760.04717431507
1719358523631.0	0.26	ws	0.280570650986441	0.27376706432173165	3.052058058058058	3.093727722583687	8.137680456784816	71278.65413344535
1719358531483.0	0.27	ws	0.2842792008215385	0.27832281601262077	3.0635035035035036	3.2114221890084322	7.7315218911698365	71216.47113316732
1719358539134.0	0.28	ws	0.26835182817548964	0.2617978542639731	3.0383323323323324	3.221907705089802	7.921160867549308	70958.28995804458
1719358546665.0	0.29000000000000004	ws	0.25512139943221923	0.24811659855236595	3.0206046046046047	3.529582441667737	7.225405723217661	70724.2369249762
1719358553632.0	0.3	ws	0.24870647498580672	0.24273705943076243	3.0136876876876877	3.5677008948096045	7.2119223519262	70673.12673352812
1719358560626.0	0.31	ws	0.22905941364127913	0.22327967856236855	2.987825825825826	3.783728381581395	6.8585567413099415	70379.84884033972
1719358567255.0	0.32	ws	0.22893383137367931	0.2236305206433834	2.989313313313313	3.7793639617803985	6.779059177840544	70431.74402624795
1719358574174.0	0.33	ws	0.22403088212097572	0.21763883094893377	2.9765705705705705	3.9351048705611635	6.432522832255791	70338.62946131593
1719358581005.0	0.34	ws	0.21455224125121858	0.2086866919094857	2.967035035035035	4.106603050723715	6.530837560829146	70168.44413733119
1719358587458.0	0.35000000000000003	ws	0.19920891731247825	0.1929564911649509	2.945855855855856	4.181727330239639	6.2058033780610815	69936.31725619221
1719358593770.0	0.36000000000000004	ws	0.18740066019105311	0.18373147127281636	2.935723723723724	4.554375200901676	5.696974535077055	69833.99729278444
1719358600066.0	0.37	ws	0.1778174486386176	0.17257947416936542	2.9223483483483483	4.586089181327025	5.95746638875849	69785.96787528877
1719358606080.0	0.38	ws	0.16708724116216805	0.16167503367209501	2.913139139139139	4.6397534907198255	5.762769349168667	69604.88598462555
1719358612001.0	0.39	ws	0.16296652530774922	0.1587829574915619	2.9121621621621623	4.560470541935197	5.858638053295386	69627.96651902235
1719358618172.0	0.4	ws	0.1567353543444343	0.15302799023729255	2.9047147147147148	4.764116859602789	5.680052127736898	69439.45821965366
